id,systemId,customerId,customerName,tenantId,entitlementSetId,orderId,lifecycleStatus,businessType,systemRole,solutionArea,subSolutionArea,dataCenterExternal,dataCenterInternal,createdOn,mainUrl
80cf5a03-8ec7-4b28-b9b4-a2fdfb4074c7,500288228,0000190852,Loves Travel Stops & Country Stores,744356082,179362610,506043122,Live,Production Tenant,Production,Business Technology Platform,BTP Other,Global,Global,2024-05-19,
fc556f84-6b08-47eb-baac-e11370a7d669,500221002,0000190852,Loves Travel Stops & Country Stores,743053283,179054676,240269541,Live,Production Tenant,Production,Business Technology Platform,BTP Other,Global,Global,2022-10-24,cockpit.btp.cloud.sap/cockpit/#/globalaccount/a7fbb5fc-080e-4e02-8d4f-21602d1b836c
ae906425-5162-40b0-b2e9-3cc6b24d427f,500219388,0000190852,Loves Travel Stops & Country Stores,742023726,,,Live,Test Tenant,Test,Business Technology Platform,SAP Build,Germany: Frankfurt,"Frankfurt 4 (CCEE eu-de-2b, CCS4 CCloud22, GCID Region EMEA, IMS EU2, SCP neo-eu2)",2021-08-23,ips-e45a156f8.dispatcher.eu2.hana.ondemand.com/?hc_reset#
ac0e8a5d-86a8-40fe-9add-6914ca2688b4,500213449,0000190852,Loves Travel Stops & Country Stores,742044318,,,Deleted,Test Tenant,Test,Business Technology Platform,SAP Build,"USA: Colorado Springs, CO","Colorado 1 (CCEE na-us-2a, CCS4 CCloud17, GCID Region AMER, IMS US2, SCP neo-us4)",2021-08-31,ips-x384eb337.dispatcher.us4.hana.ondemand.com/?hc_reset#
d1a53d1a-dec9-46b5-912a-deaf6b2e2cfd,500226015,0000190852,Loves Travel Stops & Country Stores,742848903,,,Live,Production Tenant,Production,Business Technology Platform,SAP Build,"USA: Sterling, VA","Sterling 1 (CCEE na-us-1a, CCIE na-us-101, CCS4 CCloud03, GCID Region AMER, HCM 27, IMS US1, SCP neo-us3 )",2022-08-15,aqjuptg6m.accounts.ondemand.com/admin
3fa081d7-d07e-4bcf-9106-afd79ad3666a,500226018,0000190852,Loves Travel Stops & Country Stores,744186794,,,Live,Production Tenant,Production,Business Technology Platform,SAP Build,Germany: Walldorf,"Walldorf 4 (CCEE eu-de-1d, CCS4 CCloud01, GCID Region EMEA, HCM 25, IMS EU1, SCP neo-eu1)",2024-03-20,ajw1juc4s.accounts.ondemand.com/admin
81aab455-8564-41fc-8043-b3f58137ac01,500255456,0000190852,Loves Travel Stops & Country Stores,745756659,,,Live,Test Tenant,Test,Business Technology Platform,SAP Build,"USA: Quincy, WA","MS Azure West US 2 (HCM 01 + 43 + 65 + 69 + 71, IMS US4, SCP CF cf-us20)",2025-08-18,ar9qqyyts.accounts.ondemand.com/admin
f8b5e564-64e8-4ead-b333-a5240af04535,500361303,0000190852,Loves Travel Stops & Country Stores,742243392,179008409,503105215,Deleted,Production Tenant,Production,Business Technology Platform,BTP Other,Global,Global,2023-10-31,
6cc95278-a06c-420d-ac1a-2737794b8fd2,500361304,0000190852,Loves Travel Stops & Country Stores,742243393,179008409,503105216,Deleted,Production Tenant,Production,Business Technology Platform,BTP Other,Global,Global,2023-10-31,
0b15feb5-4f4e-4009-86f9-9c7fa5168e7b,500190787,0000190852,Loves Travel Stops & Country Stores,746289811,179045129,506043231,Ready,Production Tenant,Production,Human Capital Management,Core HR and Payroll public,Global,Global,2026-01-02,
